review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme,Assigned
"Reviewed in the United States on August 19, 2021","







  
  
    Wants u to sign up and pay
  
","









  
  
    
  Only gives you a preview and then tries to con you into purchasing a subscription

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,negative,no,had to pay,Gaby
"Reviewed in the United States on September 1, 2021","







  
  
    Great App, easy to install and use
  
","









  
  
    
  This is a great App and it was easy to install and is easy to use. I like having the option to pick and choose what apps I install on my fire sticks. Another great addition.

  
",5.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",26,positive,no,easy installation,Gaby
"Reviewed in the United States on September 20, 2021","







  
  
    It’s pretty good still getting the hang of it.
  
","









  
  
    
  The picture quality is great, short commercial breaks. A little difficult to maneuver.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,neutral,no,picture quality,Gaby
"Reviewed in the United States on November 19, 2021","







  
  
    Great movies
  
","









  
  
    
  Great movies, great picture quality’s.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,positive,no,Selection/ picture quality,Gaby
"Reviewed in the United States on March 6, 2022","







  
  
    Love it!!!!
  
","









  
  
    
  Perfect!!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,positive,no,none,Gaby
"Reviewed in the United States on January 30, 2022","







  
  
    App seems to freeze up at times and take a while to load.
  
","









  
  
    
  App sometimes freezes and take a while to work. Not as user friendly as I’m used to

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,negative,yes,buffering/bug,Gaby
"Reviewed in the United States on August 27, 2021","







  
  
    Buffers A LOT!
  
","









  
  
    
  Always buffering.  I have great internet connection non of the other apps I have seem to be a problem.  This one constantly buffers and is SLOW

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,negative,yes,buffering/bug,Gaby
"Reviewed in the United States on April 28, 2022","







  
  
    Excellent
  
","









  
  
    
  Excellent

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,positive,no,none,Gaby
"Reviewed in the United States on January 1, 2022","







  
  
    It okay
  
","









  
  
    
  It no big deal I’ll stick to. Netflix

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,neutral,no,none,Gaby
"Reviewed in the United States on February 27, 2022","







  
  
    Horrible unable to watch PEACOCK on home TV
  
","









  
  
    
  I dislike it very much because I can’t stream on my home TV. No help from Peacock at all. Communication with service is horrible!

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",26,negative,no,cant stream,Gaby
"Reviewed in the United States on February 21, 2022","







  
  
    Great
  
","









  
  
    
  Great, love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",26,positive,no,none,Gaby
"Reviewed in the United States on August 26, 2021","







  
  
    Rip off
  
","









  
  
    
  We purchased a plan ( I have proof of purchase) and we never got the service we paid for. The app still has our account limited and unable to access all the show. This is even after trying to reach out to them about the issue. The basically have just stolen our money at this point. Sadly we would never recommend paying for this service. To good to be true.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",29,negative,yes,paid but did not get the service,Gaby
"Reviewed in the United States on December 27, 2021","







  
  
    Tv
  
","









  
  
    
  Watch occasionally

  
",5.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",29,neutral,no,none,Gaby
"Reviewed in the United States on February 5, 2022","







  
  
    Cannot get to the Olympics without having to pay for another membership when I am already paying
  
","









  
  
    
  I am very frustrated with Amazon and Peacock.  I paid for a subscription to Peacock so I could watch the olympics and it keeps wanting me to subscribe again when I've already subscribed with payment.  I cannot get to an email or phone for Amazon.  I am ready to cancel both Peacock and Amazon!

  
",1.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",29,negative,yes,paid but did not get the service,Gaby
"Reviewed in the United States on December 25, 2021","







  
  
    Unable to set-up and no help available!
  
","









  
  
    
  Unable to set-up and no help available!

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",29,negative,no,unable to set up,Gaby
"Reviewed in the United States on January 28, 2022","







  
  
    This was fun.
  
","









  
  
    
  I used this for posting a video of the product.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,exclude,no,none,Gaby
"Reviewed in the United States on March 5, 2022","







  
  
    Not worth it
  
","









  
  
    
  Picture  wasn't  all that clear no 4 k

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,negative,yes,buffering/image quality,Gaby
"Reviewed in the United States on September 2, 2021","







  
  
    Worth purchasing
  
","









  
  
    
  Great variety of shows & movies. Worth getting the upgraded plan. Having zero commercials is great.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,positive,no,Selection,Gaby
"Reviewed in the United States on September 18, 2021","







  
  
    Not to impressed
  
","









  
  
    
  Came with my Xfinity.I have plenty of programming without commercials.I kept my prime membership.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,neutral,no,none,Gaby
"Reviewed in the United States on October 14, 2021","







  
  
    So Glad I Found
  
","









  
  
    
  Love this app

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,positive,no,none,Gaby
"Reviewed in the United States on January 1, 2022","







  
  
    Grate quality
  
","









  
  
    
  Nothing so far

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",29,positive,no,none,Gaby
"Reviewed in the United States on September 4, 2021","







  
  
    It's got it!!
  
","









  
  
    
  This is the only platform I can watch the office on now!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,positive,no,Selection,Gaby
"Reviewed in the United States on October 10, 2021","







  
  
    Sweet
  
","









  
  
    
  Great deal

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,positive,no,none,Gaby
"Reviewed in the United States on February 26, 2022","







  
  
    Doesn't make sense
  
","









  
  
    
  i don't get why i can't stream from peacock from my other devices...ill definitely be cancelling with amazon and just ordering through peacock directly for the same price.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,negative,yes,Amazon Peacock integration,Gaby
"Reviewed in the United States on December 7, 2021","







  
  
    it,s a good app
  
","









  
  
    
  I njoy it,s movies

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,neutral,no,none,Gaby
"Reviewed in the United States on December 27, 2021","







  
  
    Love the shows
  
","









  
  
    
  Don’t have to search to far to find what I wanna watch.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,positive,no,Selection,Gaby
"Reviewed in the United States on January 11, 2022","







  
  
    No good
  
","









  
  
    
  You can only see the series  2 chapters ,the rest you have to pay for nothing is free. And the rest of the programs are from the 80s

  
",2.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",37,negative,no,had to pay,Gaby
"Reviewed in the United States on November 15, 2021","







  
  
    Nothing is free
  
","









  
  
    
  You can download it for free but then they want money

  
",1.0 out of 5 stars,"
  6 people found this helpful
      
          Helpful
      
  ",37,negative,no,had to pay,Gaby
"Reviewed in the United States on January 1, 2022","







  
  
    buying the app on firetv does not make sense as it won't work on the laptop
  
","









  
  
    
  I do not understand the point of this stupidity. If I buy the subscription on amazon firetv I can't open it on my laptop. WTH!!! Time to switch to apple tv

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,negative,no,Integration,Gaby
"Reviewed in the United States on February 16, 2022","







  
  
    Charged membership with no service
  
","









  
  
    
  Signed in to watch Super Bowl was charged premium membership fee with no service. Could not watch the game and could not get a refund for lack of services. Terrible customer service!!!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,negative,no,paid but did not get the service,Gaby
"Reviewed in the United States on November 9, 2021","







  
  
    Clunky and expensive
  
","









  
  
    
  I dislike that I now have to pay for premier league games that once came with my cable subscription.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",37,negative,no,had to pay,Gaby
"Reviewed in the United States on March 13, 2022","







  
  
    I'm loving this channel
  
","









  
  
    
  I was looking for something new and decided to try this channel. I'm very happy with the quality of the stream, the programs and selection.

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",2,positive,no,Selection/ picture quality,Gaby
"Reviewed in the United States on February 1, 2022","







  
  
    Love it
  
","









  
  
    
  loved it

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",2,positive,no,none,Gaby
"Reviewed in the United States on April 29, 2022","







  
  
    Difficult to navigate.
  
","









  
  
    
  I still cannot find a way to download a Peacock movie to tablet or phone.  Just don't see the option.  Kind of limited selection but it's free.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",2,neutral,yes,app navigation,Gaby
"Reviewed in the United States on January 19, 2022","







  
  
    Home
  
","









  
  
    
  Fantastic

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",2,positive,no,none,Gaby
"Reviewed in the United States on February 8, 2022","







  
  
    Tv
  
","









  
  
    
  Tv

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",2,exclude,,,Gaby
"Reviewed in the United States on April 26, 2022","







  
  
    Nope!
  
","









  
  
    
  I downloaded this but have been unable to view it on my Smart TV properly.  I have no problems with Netflix or Amazon Prime.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",2,negative,yes,unable to set up,Gaby
"Reviewed in the United States on November 7, 2021","







  
  
    Tv
  
","









  
  
    
  Iiked it

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",2,positive,no,none,Gaby
"Reviewed in the United States on March 18, 2022","







  
  
    I only really downloaded it but feared it may cost money so removed it
  
","









  
  
    
  I really didn't use it for fear it would end up costing me more money in the long run so I uninstalled it

  
",3.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",2,neutral,no,none,Gaby
"Reviewed in the United States on April 27, 2022","







  
  
    Lots of shows and weekly shows to watch.
  
","









  
  
    
  I've found enough to watch on this to more than justify the small price I'm paying... Glad I got it.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",2,positive,no,Selection,Gaby
"Reviewed in the United States on March 17, 2022","







  
  
    Downloaded for nothing
  
","









  
  
    
  That's great that there exists an app for Peacock. Unless you pay for it, you'll have to delete it

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",2,negative,no,had to pay,Gaby
"Reviewed in the United States on December 8, 2021","







  
  
    Hours of entertainment!
  
","









  
  
    
  Watched tv and videos.  This network is amazing.  Hours of enjoyment!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,positive,no,Selection,Gaby
"Reviewed in the United States on January 5, 2022","







  
  
    Peacock
  
","









  
  
    
  Won't pay for Peacock when I can see all the same shows for less through Netflix or Hulu.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,negative,no,had to pay,Gaby
"Reviewed in the United States on September 30, 2021","







  
  
    Ok app
  
","









  
  
    
  Not bad for the price

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,neutral,no,none,Gaby
"Reviewed in the United States on March 10, 2022","







  
    Recomendado
  
  
","









  
    
  Todo bien

  
  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,neutral,no,none,Gaby
"Reviewed in the United States on November 16, 2021","







  
  
    Best around
  
","









  
  
    
  Thinking about cancelling our provider we pay for because Peacock is providing everything we need.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,positive,no,none,Gaby
"Reviewed in the United States on March 12, 2022","







  
  
    Why is this not free, there are plenty of ads at the base level anyways.
  
","









  
  
    
  Just make it free already!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,negative,no,had to pay,Gaby
"Reviewed in the United States on December 12, 2021","







  
  
    Love it!
  
","









  
  
    
  I truly enjoy this! Happy with my choice!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,positive,no,none,Gaby
"Reviewed in the United States on September 27, 2021","







  
  
    Blurry streaming!! Poor quality picture!
  
","









  
  
    
  The streaming of the Sunday night football is blurry & poor quality picture!

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,negative,no,buffering/ image quality,Gaby
"Reviewed in the United States on March 2, 2022","







  
  
    never works
  
","









  
  
    
  stopped paying the subscription because couldnt get it to open on my devices

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,negative,no,unable to play,Gaby
"Reviewed in the United States on December 21, 2021","







  
  
    Has all shows you could want to watch
  
","









  
  
    
  Very easy to use, just turn it on

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",24,positive,no,Selection/ use,Gaby
"Reviewed in the United States on October 18, 2021","







  
  
    Not happy
  
","









  
  
    
  No. Shouldn't haveta upgrade to watch a tv show.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,negative,no,had to pay,Gaby
"Reviewed in the United States on October 18, 2021","







  
  
    Love it
  
","









  
  
    
  👍 great

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,positive,no,none,Gaby
"Reviewed in the United States on July 28, 2021","







  
  
    I would recommend for wwe fans
  
","









  
  
    
  Easy to use at times depending on your connection.  As far as content good value for your money.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,positive,no,Selection,Gaby
"Reviewed in the United States on March 11, 2022","







  
  
    Enjoying It...
  
","









  
  
    
  Very Good Shows To Watch...

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,positive,no,Selection,Gaby
"Reviewed in the United States on March 3, 2022","







  
  
    It’s alright
  
","









  
  
    
  My husband just enjoy watching old wwf/wwe episodes but the steaming it’s quite slow

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,neutral,no,Selection,Gaby
"Reviewed in the United States on March 6, 2022","







  
  
    Wtf
  
","









  
  
    
  Be great if it ever loaded

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,negative,yes,Buffering,Gaby
"Reviewed in the United States on July 29, 2021","







  
  
    Log in problem
  
","









  
  
    
  Have to log back in every time you open the app

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,negative,yes,log in,Gaby
"Reviewed in the United States on December 10, 2021","







  
  
    Great xtra with Xfinity Cable
  
","









  
  
    
  Screening quality is great

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,positive,no,none,Gaby
"Reviewed in the United States on August 1, 2021","







  
  
    GREAT APP!!
  
","









  
  
    
  Easy to download, easy to navigate, GREAT content!Highly recommend!A++

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,positive,no,easy,Gaby
"Reviewed in the United States on November 13, 2021","







  
  
    Not recommended!!!
  
","









  
  
    
  Waste of money!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",45,negative,no,none,Gaby
"Reviewed in the United States on October 7, 2021","







  
  
    Disappointed
  
","









  
  
    
  It's extremely slow

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,negative,yes,slow,Gaby
"Reviewed in the United States on December 19, 2021","







  
  
    Okay
  
","









  
  
    
  Basic Tv

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,neutral,no,none,Gaby
"Reviewed in the United States on October 1, 2021","







  
  
    Poor navigation, not user friendly, extremely limited viewing options
  
","









  
  
    
  Purchased to watch Olympics. Difficult to navigate and find what you want to watch. Live TV was not an option, even though it was supposed to be with the purchased app. Wouldn't recommend.

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,negative,yes,app navigation,Gaby
"Reviewed in the United States on October 16, 2021","







  
  
    Easy to use. Great shows available
  
","









  
  
    
  Easy to use. Great selection

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,positive,no,easy,Gaby
"Reviewed in the United States on November 2, 2021","







  
  
    Amazing
  
","









  
  
    
  I really like this app. Peacock  it has great variety of movies and streams just about anywhere. I live deep in mountains. And can still get a movie when WiFi is at it lowest

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,positive,no,Selection,Gaby
"Reviewed in the United States on March 14, 2022","







  
  
    junk
  
","









  
  
    
  junk

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,negative,no,none,Gaby
"Reviewed in the United States on February 21, 2022","







  
  
    Good
  
","









  
  
    
  Good

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,positive,no,none,Gaby
"Reviewed in the United States on September 25, 2021","







  
  
    All Glitter, No Value
  
","









  
  
    
  The channels don't run well. Searching for shows and movies is a problem. On the firestick it runs like a one legged dog in a marathon. Horrible...

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,negative,yes,app navigation,Gaby
"Reviewed in the United States on August 29, 2021","







  
  
    A great variety of movies and TV shows.
  
","









  
  
    
  I really enjoy all the different movies for all ages. Kid and family friendly as well as movies for older teens.

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",13,positive,no,Selection,Gaby
"Reviewed in the United States on October 6, 2021","







  
  
    Love 💘
  
","









  
  
    
  Very good

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",13,positive,no,none,Gaby
"Reviewed in the United States on August 26, 2021","







  
  
    Love it!!!
  
","









  
  
    
  So many great shows lots of variety

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,positive,no,Selection,Gaby
"Reviewed in the United States on September 9, 2021","







  
  
    Love itLove it and watch alot of it
  
","









  
  
    
  I'm watching lots of T V

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,positive,no,none,Gaby
"Reviewed in the United States on September 13, 2021","







  
  
    I did not purchase peacock tv
  
","









  
  
    
  I did not purchase peacock tv

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,neutral,no,none,Gaby
"Reviewed in the United States on November 23, 2021","







  
  
    Good shows
  
","









  
  
    
  Good shows. Good variety

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,positive,no,Selection,Gaby
"Reviewed in the United States on September 28, 2021","







  
  
    Great Free TV
  
","









  
  
    
  I love Peacock. It's free and has movies, series and also live TV. I'm so glad for them.

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,positive,no,Selection and free,Gaby
"Reviewed in the United States on October 21, 2021","







  
  
    Needs more Content
  
","









  
  
    
  Had Better

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,neutral,no,Selection,Gaby
"Reviewed in the United States on October 10, 2021","







  
  
    Needs more recent and old movies
  
","









  
  
    
  Love the app but needs more dated movies for adults more movie options needed. Also for the children need more recent kids movies and cartoons.

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,negative,no,Selection,Gaby
"Reviewed in the United States on January 13, 2022","







  
  
    I thought NBC was a major company...
  
","









  
  
    
  Was forced to switch to Peacock when they absorbed the WWE Network.  Yes, my monthly bill went down, but so did the overall quality of the service.  Yes I had more content, but I could search for a 'featured' program (it was literally one of the slides on their front page) and it wouldn't show it as existing.  They don't have a live pause button, that's a common feature of many streaming services and your local cable provider.  The quality (picture/sound) has gone downhill drastically.  The feed often becomes grainy during live events.  Yes, I know that there are MANY things that could contribute to this but it seems to happen every event I watch since Peacock took over as the platform.  The overall user interface feels like a grad student in web design made it for a school project.  I've considered buying a VPN just to use the WWE Network in England.  The extra cost might be worth the alleviation of the suffering Peacock causes me every time I try and use it.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",15,negative,yes,"buffering, search programs, option to pause livestream",Gaby
"Reviewed in the United States on February 17, 2022","







  
  
    Lkve watching Yellowstone ❤️
  
","









  
  
    
  That I finshed all seasons 4

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",15,positive,no,Selection,Gaby
"Reviewed in the United States on August 20, 2021","







  
  
    didn't desire to sign in.
  
","









  
  
    
  I guess I'll never know if this is useful or not, it requires you to sign up.  If it is free, I do not see a good reason to do that, except to enable them to use your data to start spamming you, or to sell it to other entities who will use it for spammy purposes, and yes, I consider targeted ads as spam.

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",15,negative,no,Sign up data concerns,Gaby
"Reviewed in the United States on January 14, 2022","







  
  
    Do not use via Amazon
  
","









  
  
    
  Please save yourself the headache and download from peacock.com. you cannot stream on any other device because you have no log in information.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,negative,yes,Amazon Peacock integration,Gaby
"Reviewed in the United States on November 27, 2021","







  
  
    Unnecessary.
  
","









  
  
    
  There is no reason for this service to clutter your homepage.  If every network continues to make a paid app to view thier shows it will only drive more and more people to piracy and independent creators.You already made Hulu, just upload to that!

  
",1.0 out of 5 stars,"
  20 people found this helpful
      
          Helpful
      
  ",58,negative,yes,Decentralized content,Gaby
"Reviewed in the United States on October 24, 2021","







  
  
    I am so glad I got this I am binge watching the 'Chicago series'... love it
  
","









  
  
    
  I haven't had any issues

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,neutral,no,Selection,Gaby
"Reviewed in the United States on September 12, 2021","







  
  
    Fun shows
  
","









  
  
    
  Only one add during movies that a + in my books

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,positive,no,none,Gaby
"Reviewed in the United States on November 10, 2021","







  
  
    Did not want to pay extra money to watch regular TV shows
  
","









  
  
    
  One free episode then you have to pay for everything else very deceptiveIn my opinion

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,negative,no,had to pay,Gaby
"Reviewed in the United States on January 4, 2022","







  
  
    It's all good
  
","









  
  
    
  It's all good

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,positive,no,none,Gaby
"Reviewed in the United States on August 15, 2021","







  
  
    Love the programming
  
","









  
  
    
  It works fine

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,neutral,no,Selection,Gaby
"Reviewed in the United States on March 16, 2022","







  
  
    I Thought that it was free but it’s not no I cannot pay for it
  
","









  
  
    
  No because I not Able to pay for it

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,negative,no,had to pay,Gaby
"Reviewed in the United States on March 3, 2022","







  
  
    I'm paying for it but the show I want to watch won't play.
  
","









  
  
    
  Can't watch the show I want to watch. Going to unsubscribe.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,negative,yes,Show doesnt play,Gaby
"Reviewed in the United States on August 3, 2021","







  
  
    Great Movies  and shows !
  
","









  
  
    
  Haven't  purchased,  what it comes FREE,  is an absolute pleasure  ! It's  now what I  watch, even  though  I've  got  HBOMAX  and DISNEY  !

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",58,neutral,no,too expensive,Ana
"Reviewed in the United States on December 13, 2021","







  
  
    Love it.
  
","









  
  
    
  Love it.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,positive,no,none,Ana
"Reviewed in the United States on October 12, 2021","







  
  
    Don’t Get
  
","









  
  
    
  To be completely honest with you you get the first two seasons of any episode three and the rest you have to pay for is something that they don’t tell you which I wish they would have before I download it

  
",1.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",60,negative,no,too expensive,Ana
"Reviewed in the United States on March 5, 2022","







  
  
    Great
  
","









  
  
    
  Like to watch showes on there

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,positive,no,good selection,Ana
"Reviewed in the United States on August 9, 2021","







  
  
    I wanted to watch yellowstone
  
","









  
  
    
  I wanted to watch yellowstone

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,neutral,no,none,Ana
"Reviewed in the United States on March 17, 2022","







  
  
    Tortured login process
  
","









  
  
    
  I own it, but so what? - able to watch on one device, not on another without requiring Amazon password! Are you kidding?

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,negative,no,app doesn't work,Ana
"Reviewed in the United States on December 12, 2021","







  
  
    Install app and enjoy
  
","









  
  
    
  Perfect

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,positive,no,none,Ana
"Reviewed in the United States on January 13, 2022","







  
  
    Can’t live without Peacock
  
","









  
  
    
  Can’t live without Peacock. I use this app every day

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,positive,no,none,Ana
"Reviewed in the United States on September 7, 2021","







  
  
    I think I was taken for a ride?
  
","









  
  
    
  Add,  and online info. says it's free and offers a wide variety. But...I got it mainly so I could enjoy ""YELLOWSTONE"" . You get in there, sign-up, download the app, then find out,,,Oh sorry that's gonna cost you extra!?!  $4.99 for ""Premium"" plan. Just for one program. And there's only three seasons! So disappointed. I feel a bit used. Someday I'll get used to that. But I'm an old lady & shouldn't have to. What a world...

  
",2.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",60,negative,no,deceiving marketing,Ana
"Reviewed in the United States on October 7, 2021","







  
  
    Quality
  
","









  
  
    
  A couple of disappointments but over all very good.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,neutral,no,none,Ana
"Reviewed in the United States on October 3, 2021","







  
  
    Sad
  
","









  
  
    
  I signed up for premium just for the New Punky Brewster and then they didn't renew it for a new season so I canceled my subscription.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",60,neutral,no,none,Ana
"Reviewed in the United States on January 4, 2022","







  
  
    Too many commercials
  
","









  
  
    
  Too. Many commercials

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,negative,no,lots of commercials,Ana
"Reviewed in the United States on January 17, 2022","







  
  
    The only good thing is old movie and price
  
","









  
  
    
  I don't know if it's the old movies or the app and only getting old TV shows I don't have to watch something I saw 10 years ago, only thing I like is wwwe

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,negative,no,poor content,Ana
"Reviewed in the United States on December 13, 2021","







  
  
    Unsatisfied
  
","









  
  
    
  Paying for a subscription and was not able to view movies

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,negative,no,app doesn't work,Ana
"Reviewed in the United States on March 2, 2022","







  
  
    ok
  
","









  
  
    
  Its ok

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,neutral,no,none,Ana
"Reviewed in the United States on October 23, 2021","







  
  
    Peacock?
  
","









  
  
    
  I only signed up to see the new Halloween but I actually love the service now! I will be keeping my subscription.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,positive,no,none,Ana
"Reviewed in the United States on September 3, 2021","







  
  
    Cancel peacock
  
","









  
  
    
  Never could open it. Plain and simple

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,negative,no,app doesn't work,Ana
"Reviewed in the United States on July 29, 2021","







  
  
    You have to purchase
  
","









  
  
    
  Was not aware had to purchase

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,neutral,no,none,Ana
"Reviewed in the United States on February 13, 2022","







  
  
    Tv
  
","









  
  
    
  Love it’s free champ

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,positive,no,none,Ana
"Reviewed in the United States on October 2, 2021","







  
  
    Very slow
  
","









  
  
    
  It slow in responding.

  
",5.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",33,negative,no,app doesn't work,Ana
"Reviewed in the United States on October 23, 2021","







  
  
    Too much old old stuff
  
","









  
  
    
  Choice of shows are nothing special. You can get the just about anywhere. To get anything better you have to step up and pay.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",33,neutral,no,none,Ana
"Reviewed in the United States on January 19, 2022","







  
  
    PEACOCK
  
","









  
  
    
  Awesome

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",25,positive,no,none,Ana
